(200, 175)
(200, 176)
(199, 176)
(198, 176)
(198, 177)
(197, 177)
(196, 177)
(195, 177)
(196, 177)
(195, 177)
(195, 177)
(194, 177)
(193, 177)
(194, 177)
(193, 177)
(192, 177)
(189, 177)
(188, 177)
(188, 178)
(187, 178)
(187, 179)
(186, 179)
(185, 179)
(185, 180)
(184, 180)
(184, 181)
(183, 181)
(183, 182)
(183, 183)
(183, 184)
(183, 185)
(183, 186)
(183, 187)
(184, 188)
(184, 189)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(184, 190)
(184, 191)
(183, 191)
(184, 191)
(184, 190)
(184, 191)
(184, 193)
(184, 195)
(185, 195)
(185, 196)
(186, 196)
(187, 196)
(188, 196)
(188, 197)
(188, 198)
(189, 198)
(189, 199)
(189, 200)
(190, 200)
(189, 198)
(189, 199)
(189, 200)
(189, 200)
(190, 200)
(190, 201)
(190, 202)
(191, 202)
(191, 203)
(191, 203)
(191, 204)
(191, 205)
(190, 207)
(189, 207)
(189, 208)
(188, 208)
(187, 208)
(186, 208)
(185, 208)
(184, 208)
(183, 208)
(183, 209)
(181, 209)
(181, 208)
(181, 209)
(181, 210)
(180, 210)
(180, 211)
(180, 211)
(180, 211)
(180, 210)
(180, 211)
(180, 214)
(180, 216)
(180, 216)
(180, 217)
(180, 217)
(179, 219)
(179, 219)
(178, 219)
(179, 219)
(178, 219)
(178, 219)
(179, 219)
(178, 219)
(178, 219)
(179, 219)
(178, 219)
(179, 219)
(180, 219)
(179, 219)
(179, 217)
(179, 217)
(179, 218)
(179, 221)
(179, 222)
(179, 223)
(179, 224)
(179, 225)
(179, 226)
(179, 227)
(179, 228)
(179, 229)
(179, 230)
(179, 231)
(179, 230)
(179, 231)
(178, 232)
(178, 233)
(179, 233)
(179, 234)
(179, 235)
(180, 235)
(181, 235)
(182, 235)
(183, 235)
(183, 236)
(184, 236)
(185, 236)
(186, 236)
(187, 236)
(187, 236)
(187, 236)
(187, 235)
(188, 235)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 233)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 235)
(189, 234)
(189, 233)
(189, 232)
(190, 231)
